time,Gen_Index,generator_segment,marginal_cost
1,Alta,1,14
1,Park City,1,15
1,Solitude,1,30
1,Sundance,1,40
1,Brighton,1,10
1,Alta,2,14
1,Park City,2,15
1,Solitude,2,30
1,Sundance,2,40
1,Brighton,2,10
1,Alta,3,14
1,Park City,3,15
1,Solitude,3,30
1,Sundance,3,40
1,Brighton,3,10
1,Alta,4,14
1,Park City,4,15
1,Solitude,4,30
1,Sundance,4,40
1,Brighton,4,10
2,Alta,1,14
2,Park City,1,15
2,Solitude,1,30
2,Sundance,1,40
2,Brighton,1,10
2,Alta,2,14
2,Park City,2,15
2,Solitude,2,30
2,Sundance,2,40
2,Brighton,2,10
2,Alta,3,14
2,Park City,3,15
2,Solitude,3,30
2,Sundance,3,40
2,Brighton,3,10
2,Alta,4,14
2,Park City,4,15
2,Solitude,4,30
2,Sundance,4,40
2,Brighton,4,10
