,hour,SegmentOffer,SegmentDispatch,MaxDual,MinDual,Zone,LMP,MarginalCost,Profit
Alta-1,1,28.00,7.15,0,0,A,28.00,14.00,100.10000000000001
Alta-2,1,28.00,0,0,0,A,28.00,14.00,0.0
Alta-3,1,28.00,0,0,0,A,28.00,14.00,0.0
Alta-4,1,28.00,0,0,0,A,28.00,14.00,0.0
Park City-1,1,28.00,0,0,0,A,28.00,15.00,0.0
Park City-2,1,28.00,0,0,0,A,28.00,15.00,0.0
Park City-3,1,28.00,0,0,0,A,28.00,15.00,0.0
Park City-4,1,28.00,0,0,0,A,28.00,15.00,0.0
Solitude-1,1,30.00,130.00,30.00,0,C,60.00,30.00,3900.0
Solitude-2,1,30.00,130.00,30.00,0,C,60.00,30.00,3900.0
Solitude-3,1,30.00,130.00,30.00,0,C,60.00,30.00,3900.0
Solitude-4,1,60.00,0,0,0,C,60.00,30.00,0.0
Sundance-1,1,40.00,2.85,0,0,D,40.00,40.00,0.0
Sundance-2,1,80.00,0,0,40.00,D,40.00,40.00,0.0
Sundance-3,1,80.00,0,0,40.00,D,40.00,40.00,0.0
Sundance-4,1,80.00,0,0,40.00,D,40.00,40.00,0.0
Brighton-1,1,10.00,150.00,70.00,0,E,80.00,10.00,10500.0
Brighton-2,1,10.00,150.00,70.00,0,E,80.00,10.00,10500.0
Brighton-3,1,10.00,150.00,70.00,0,E,80.00,10.00,10500.0
Brighton-4,1,10.00,150.00,70.00,0,E,80.00,10.00,10500.0
Alta-1,2,14.00,10.00,14.00,0,A,28.00,14.00,140.0
Alta-2,2,28.00,0,0,0,A,28.00,14.00,0.0
Alta-3,2,14.00,10.00,14.00,0,A,28.00,14.00,140.0
Alta-4,2,14.00,10.00,14.00,0,A,28.00,14.00,140.0
Park City-1,2,28.00,0,0,0,A,28.00,15.00,0.0
Park City-2,2,28.00,0,0,0,A,28.00,15.00,0.0
Park City-3,2,28.00,0,0,0,A,28.00,15.00,0.0
Park City-4,2,28.00,0,0,0,A,28.00,15.00,0.0
Solitude-1,2,30.00,0,0,30.00,C,0,30.00,-0.0
Solitude-2,2,30.00,0,0,30.00,C,0,30.00,-0.0
Solitude-3,2,30.00,0,0,30.00,C,0,30.00,-0.0
Solitude-4,2,30.00,0,0,30.00,C,0,30.00,-0.0
Sundance-1,2,40.00,0,0,40.00,D,0,40.00,-0.0
Sundance-2,2,40.00,0,0,40.00,D,0,40.00,-0.0
Sundance-3,2,40.00,0,0,40.00,D,0,40.00,-0.0
Sundance-4,2,40.00,0,0,40.00,D,0,40.00,-0.0
Brighton-1,2,10.00,0,0,10.00,E,0,10.00,-0.0
Brighton-2,2,10.00,0,0,10.00,E,0,10.00,-0.0
Brighton-3,2,10.00,0,0,10.00,E,0,10.00,-0.0
Brighton-4,2,10.00,0,0,10.00,E,0,10.00,-0.0
