,hour,SegmentOffer,SegmentDispatch,SegmentEmissions,Commitment,Startup,Shutdown,MaxDual,MinDual,DMaxDual,DMinDual,RampMaxDual,RampMinDual,StartShutDual,Zone,LMP,MarginalCost,Profit,PreviousOffer,AvailableSegmentCapacity
301_CT_1-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,60.756613,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,87.255791,-0.0,87.255791,8.000000
301_CT_1-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,60.756613,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,87.255791,-0.0,87.255791,4.000000
301_CT_1-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,73.196591,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,99.695770,-0.0,99.695770,4.000000
301_CT_1-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,78.868063,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,105.367241,-0.0,105.367241,4.000000
301_CT_2-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,60.756613,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,87.255791,-0.0,87.255791,8.000000
301_CT_2-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,60.756613,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,87.255791,-0.0,87.255791,4.000000
301_CT_2-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,73.196591,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,99.695770,-0.0,99.695770,4.000000
301_CT_2-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,78.868063,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,105.367241,-0.0,105.367241,4.000000
301_CT_3-0,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.970821,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,28.469999,-0.0,28.469999,22.000000
301_CT_3-1,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.970821,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,28.469999,-0.0,28.469999,11.000000
301_CT_3-2,1,29.286315,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.787137,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,29.286315,-0.0,29.286315,11.000000
301_CT_3-3,1,43.742887,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,17.243708,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,43.742887,-0.0,43.742887,11.000000
301_CT_4-0,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.970821,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,28.469999,-0.0,28.469999,22.000000
301_CT_4-1,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.970821,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,28.469999,-0.0,28.469999,11.000000
301_CT_4-2,1,29.286315,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.787137,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,29.286315,-0.0,29.286315,11.000000
301_CT_4-3,1,43.742887,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,17.243708,0.000000,0.000000,0.000000,0.000000,0.000000,301,26.499179,43.742887,-0.0,43.742887,11.000000
302_CT_1-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,60.756613,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,87.255791,-0.0,87.255791,8.000000
302_CT_1-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,60.756613,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,87.255791,-0.0,87.255791,4.000000
302_CT_1-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,73.196591,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,99.695770,-0.0,99.695770,4.000000
302_CT_1-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,78.868063,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,105.367241,-0.0,105.367241,4.000000
302_CT_2-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,60.756613,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,87.255791,-0.0,87.255791,8.000000
302_CT_2-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,60.756613,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,87.255791,-0.0,87.255791,4.000000
302_CT_2-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,73.196591,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,99.695770,-0.0,99.695770,4.000000
302_CT_2-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,78.868063,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,105.367241,-0.0,105.367241,4.000000
302_CT_3-0,1,33.791603,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,7.292425,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,33.791603,-0.0,33.791603,22.000000
302_CT_3-1,1,33.791603,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,7.292425,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,33.791603,-0.0,33.791603,11.000000
302_CT_3-2,1,38.382410,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,11.883232,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,38.382410,-0.0,38.382410,11.000000
302_CT_3-3,1,38.635080,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,12.135901,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,38.635080,-0.0,38.635080,11.000000
302_CT_4-0,1,33.791603,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,7.292425,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,33.791603,-0.0,33.791603,22.000000
302_CT_4-1,1,33.791603,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,7.292425,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,33.791603,-0.0,33.791603,11.000000
302_CT_4-2,1,38.382410,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,11.883232,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,38.382410,-0.0,38.382410,11.000000
302_CT_4-3,1,38.635080,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,12.135901,0.000000,0.000000,0.000000,0.000000,0.000000,302,26.499179,38.635080,-0.0,38.635080,11.000000
307_CT_1-0,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.395512,0.000000,0.000000,0.000000,0.000000,0.000000,307,26.499179,27.894691,-0.0,27.894691,22.000000
307_CT_1-1,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.395512,0.000000,0.000000,0.000000,0.000000,0.000000,307,26.499179,27.894691,-0.0,27.894691,11.000000
307_CT_1-2,1,29.220233,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.721054,0.000000,0.000000,0.000000,0.000000,0.000000,307,26.499179,29.220233,-0.0,29.220233,11.000000
307_CT_1-3,1,35.474770,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,8.975591,0.000000,0.000000,0.000000,0.000000,0.000000,307,26.499179,35.474770,-0.0,35.474770,11.000000
307_CT_2-0,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.395512,0.000000,0.000000,0.000000,0.000000,0.000000,307,26.499179,27.894691,-0.0,27.894691,22.000000
307_CT_2-1,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.395512,0.000000,0.000000,0.000000,0.000000,0.000000,307,26.499179,27.894691,-0.0,27.894691,11.000000
307_CT_2-2,1,29.220233,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.721054,0.000000,0.000000,0.000000,0.000000,0.000000,307,26.499179,29.220233,-0.0,29.220233,11.000000
307_CT_2-3,1,35.474770,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,8.975591,0.000000,0.000000,0.000000,0.000000,0.000000,307,26.499179,35.474770,-0.0,35.474770,11.000000
313_CC_1-0,1,15.731579,170.000000,36.823878,1.000000,0.000000,0.000000,10.767599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,313,26.499179,15.731579,1830.4920000000002,15.731579,170.000000
313_CC_1-1,1,15.731579,61.666667,13.357681,1.000000,0.000000,0.000000,10.767599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,313,26.499179,15.731579,664.0020035892001,15.731579,61.666667
313_CC_1-2,1,26.755735,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.256557,0.000000,0.000000,0.000000,0.000000,0.000000,313,26.499179,26.755735,-0.0,26.755735,61.666667
313_CC_1-3,1,33.752731,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,7.253553,0.000000,0.000000,0.000000,0.000000,0.000000,313,26.499179,33.752731,-0.0,33.752731,61.666667
315_STEAM_1-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,48.937598,0.000000,0.000000,0.000000,0.000000,0.000000,315,26.499179,75.436777,-0.0,75.436777,5.000000
315_STEAM_1-1,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,48.937598,0.000000,0.000000,0.000000,0.000000,0.000000,315,26.499179,75.436777,-0.0,75.436777,2.333333
315_STEAM_1-2,1,100.399529,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,73.900351,0.000000,0.000000,0.000000,0.000000,0.000000,315,26.499179,100.399529,-0.0,100.399529,2.333333
315_STEAM_1-3,1,124.099655,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,97.600477,0.000000,0.000000,0.000000,0.000000,0.000000,315,26.499179,124.099655,-0.0,124.099655,2.333333
315_STEAM_2-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,48.937598,0.000000,0.000000,0.000000,0.000000,0.000000,315,26.499179,75.436777,-0.0,75.436777,5.000000
315_STEAM_2-1,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,48.937598,0.000000,0.000000,0.000000,0.000000,0.000000,315,26.499179,75.436777,-0.0,75.436777,2.333333
315_STEAM_2-2,1,100.399529,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,73.900351,0.000000,0.000000,0.000000,0.000000,0.000000,315,26.499179,100.399529,-0.0,100.399529,2.333333
315_STEAM_2-3,1,124.099655,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,97.600477,0.000000,0.000000,0.000000,0.000000,0.000000,315,26.499179,124.099655,-0.0,124.099655,2.333333
315_STEAM_3-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,48.937598,0.000000,0.000000,0.000000,0.000000,0.000000,315,26.499179,75.436777,-0.0,75.436777,5.000000
315_STEAM_3-1,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,48.937598,0.000000,0.000000,0.000000,0.000000,0.000000,315,26.499179,75.436777,-0.0,75.436777,2.333333
315_STEAM_3-2,1,100.399529,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,73.900351,0.000000,0.000000,0.000000,0.000000,0.000000,315,26.499179,100.399529,-0.0,100.399529,2.333333
