transmission_line,susceptance
1_to_2,50000
1_to_3,50000
2_to_4,50000
2_to_5,50000
2_to_6,50000
3_to_4,50000
4_to_6,50000
4_to_12,50000
5_to_7,50000
6_to_7,50000
6_to_8,50000
6_to_9,50000
6_to_10,50000
6_to_28,50000
8_to_28,50000
9_to_11,50000
9_to_10,50000
10_to_20,50000
10_to_17,50000
10_to_21,50000
10_to_22,50000
12_to_13,50000
12_to_14,50000
12_to_15,50000
12_to_16,50000
14_to_15,50000
15_to_18,50000
15_to_23,50000
16_to_17,50000
18_to_19,50000
19_to_20,50000
21_to_22,50000
22_to_24,50000
23_to_24,50000
24_to_25,50000
25_to_26,50000
25_to_27,50000
27_to_28,50000
27_to_29,50000
27_to_30,50000
29_to_30,50000
