,hour,SegmentOffer,SegmentDispatch,SegmentEmissions,MaxDual,MinDual,Zone,LMP,MarginalCost,Profit,PreviousOffer
101_CT_1-0,1,97.863926,0.000000,0.000000,618.204197,0.000000,101,23.334982,97.863926,-0.0,97.863926
101_CT_1-1,1,97.863926,0.000000,0.000000,618.204197,0.000000,101,23.334982,97.863926,-0.0,97.863926
101_CT_1-2,1,98.070914,0.000000,0.000000,617.997209,0.000000,101,23.334982,98.070914,-0.0,98.070914
101_CT_1-3,1,107.136989,0.000000,0.000000,608.931135,0.000000,101,23.334982,107.136989,-0.0,107.136989
101_CT_2-0,1,97.863926,0.000000,0.000000,618.204197,0.000000,101,23.334982,97.863926,-0.0,97.863926
101_CT_2-1,1,97.863926,0.000000,0.000000,618.204197,0.000000,101,23.334982,97.863926,-0.0,97.863926
101_CT_2-2,1,98.070914,0.000000,0.000000,617.997209,0.000000,101,23.334982,98.070914,-0.0,98.070914
101_CT_2-3,1,107.136989,0.000000,0.000000,608.931135,0.000000,101,23.334982,107.136989,-0.0,107.136989
101_STEAM_3-0,1,14.191215,30.000000,19.183267,701.876909,0.000000,101,23.334982,14.191215,274.31301,14.191215
101_STEAM_3-1,1,14.191215,15.333333,9.804781,701.876909,0.000000,101,23.334982,14.191215,140.204424285411,14.191215
101_STEAM_3-2,1,16.971112,15.333333,11.725426,699.097012,0.000000,101,23.334982,16.971112,97.57933787870998,16.971112
101_STEAM_3-3,1,18.072501,15.333333,12.486381,697.995623,0.000000,101,23.334982,18.072501,80.69137357917302,18.072501
101_STEAM_4-0,1,14.191215,30.000000,19.183267,701.876909,0.000000,101,23.334982,14.191215,274.31301,14.191215
101_STEAM_4-1,1,14.191215,15.333333,9.804781,701.876909,0.000000,101,23.334982,14.191215,140.204424285411,14.191215
101_STEAM_4-2,1,16.971112,15.333333,11.725426,699.097012,0.000000,101,23.334982,16.971112,97.57933787870998,16.971112
101_STEAM_4-3,1,18.072501,15.333333,12.486381,697.995623,0.000000,101,23.334982,18.072501,80.69137357917302,18.072501
102_CT_1-0,1,88.973792,0.000000,0.000000,0.000000,88.973792,102,23.334982,88.973792,-0.0,88.973792
102_CT_1-1,1,88.973792,0.000000,0.000000,0.000000,88.973792,102,23.334982,88.973792,-0.0,88.973792
102_CT_1-2,1,94.665962,0.000000,0.000000,0.000000,94.665962,102,23.334982,94.665962,-0.0,94.665962
102_CT_1-3,1,99.581927,0.000000,0.000000,0.000000,99.581927,102,23.334982,99.581927,-0.0,99.581927
102_CT_2-0,1,88.973792,0.000000,0.000000,0.000000,88.973792,102,23.334982,88.973792,-0.0,88.973792
102_CT_2-1,1,88.973792,0.000000,0.000000,0.000000,88.973792,102,23.334982,88.973792,-0.0,88.973792
102_CT_2-2,1,94.665962,0.000000,0.000000,0.000000,94.665962,102,23.334982,94.665962,-0.0,94.665962
102_CT_2-3,1,99.581927,0.000000,0.000000,0.000000,99.581927,102,23.334982,99.581927,-0.0,99.581927
102_STEAM_3-0,1,18.463589,30.000000,24.958537,0.000000,18.463589,102,23.334982,18.463589,146.14179000000004,18.463589
102_STEAM_3-1,1,18.463589,15.333333,12.756586,0.000000,18.463589,102,23.334982,18.463589,74.69469104286901,18.463589
102_STEAM_3-2,1,20.846055,15.333333,14.402644,0.000000,20.846055,102,23.334982,20.846055,38.163546503691,20.846055
102_STEAM_3-3,1,22.516107,15.333333,15.556491,0.000000,22.516107,102,23.334982,22.516107,12.556083060374975,22.516107
102_STEAM_4-0,1,18.463589,30.000000,24.958537,0.000000,18.463589,102,23.334982,18.463589,146.14179000000004,18.463589
102_STEAM_4-1,1,18.463589,15.333333,12.756586,0.000000,18.463589,102,23.334982,18.463589,74.69469104286901,18.463589
102_STEAM_4-2,1,20.846055,15.333333,14.402644,0.000000,20.846055,102,23.334982,20.846055,38.163546503691,20.846055
102_STEAM_4-3,1,22.516107,15.333333,15.556491,0.000000,22.516107,102,23.334982,22.516107,12.556083060374975,22.516107
107_CC_1-0,1,23.206703,170.000000,54.321361,0.000000,23.206703,107,23.334982,23.206703,21.807429999999854,23.206703
107_CC_1-1,1,23.206703,61.666667,19.704808,0.000000,23.206703,107,23.334982,23.206703,7.910538376092947,23.206703
107_CC_1-2,1,26.790720,0.000000,0.000000,0.000000,26.790720,107,23.334982,26.790720,-0.0,26.790720
107_CC_1-3,1,30.530226,0.000000,0.000000,0.000000,30.530226,107,23.334982,30.530226,-0.0,30.530226
113_CT_1-0,1,26.817931,0.000000,0.000000,914.739097,0.000000,113,23.334982,26.817931,-0.0,26.817931
113_CT_1-1,1,26.817931,0.000000,0.000000,914.739097,0.000000,113,23.334982,26.817931,-0.0,26.817931
113_CT_1-2,1,29.550646,0.000000,0.000000,912.006382,0.000000,113,23.334982,29.550646,-0.0,29.550646
113_CT_1-3,1,30.308654,0.000000,0.000000,911.248374,0.000000,113,23.334982,30.308654,-0.0,30.308654
113_CT_2-0,1,26.817931,0.000000,0.000000,914.739097,0.000000,113,23.334982,26.817931,-0.0,26.817931
113_CT_2-1,1,26.817931,0.000000,0.000000,914.739097,0.000000,113,23.334982,26.817931,-0.0,26.817931
113_CT_2-2,1,29.550646,0.000000,0.000000,912.006382,0.000000,113,23.334982,29.550646,-0.0,29.550646
113_CT_2-3,1,30.308654,0.000000,0.000000,911.248374,0.000000,113,23.334982,30.308654,-0.0,30.308654
113_CT_3-0,1,26.817931,0.000000,0.000000,914.739097,0.000000,113,23.334982,26.817931,-0.0,26.817931
113_CT_3-1,1,26.817931,0.000000,0.000000,914.739097,0.000000,113,23.334982,26.817931,-0.0,26.817931
113_CT_3-2,1,29.550646,0.000000,0.000000,912.006382,0.000000,113,23.334982,29.550646,-0.0,29.550646
113_CT_3-3,1,30.308654,0.000000,0.000000,911.248374,0.000000,113,23.334982,30.308654,-0.0,30.308654
113_CT_4-0,1,26.817931,0.000000,0.000000,914.739097,0.000000,113,23.334982,26.817931,-0.0,26.817931
113_CT_4-1,1,26.817931,0.000000,0.000000,914.739097,0.000000,113,23.334982,26.817931,-0.0,26.817931
113_CT_4-2,1,29.550646,0.000000,0.000000,912.006382,0.000000,113,23.334982,29.550646,-0.0,29.550646
113_CT_4-3,1,30.308654,0.000000,0.000000,911.248374,0.000000,113,23.334982,30.308654,-0.0,30.308654
115_STEAM_1-0,1,124.503282,0.000000,0.000000,188.761430,0.000000,115,23.334982,124.503282,-0.0,124.503282
115_STEAM_1-1,1,124.503282,0.000000,0.000000,188.761430,0.000000,115,23.334982,124.503282,-0.0,124.503282
115_STEAM_1-2,1,125.051800,0.000000,0.000000,188.212911,0.000000,115,23.334982,125.051800,-0.0,125.051800
115_STEAM_1-3,1,133.641802,0.000000,0.000000,179.622909,0.000000,115,23.334982,133.641802,-0.0,133.641802
115_STEAM_2-0,1,124.503282,0.000000,0.000000,188.761430,0.000000,115,23.334982,124.503282,-0.0,124.503282
115_STEAM_2-1,1,124.503282,0.000000,0.000000,188.761430,0.000000,115,23.334982,124.503282,-0.0,124.503282
115_STEAM_2-2,1,125.051800,0.000000,0.000000,188.212911,0.000000,115,23.334982,125.051800,-0.0,125.051800
115_STEAM_2-3,1,133.641802,0.000000,0.000000,179.622909,0.000000,115,23.334982,133.641802,-0.0,133.641802
115_STEAM_3-0,1,20.400004,62.000000,56.990660,292.864708,0.000000,115,23.334982,20.400004,181.96863600000006,20.400004
115_STEAM_3-1,1,20.400004,31.000000,28.495330,292.864708,0.000000,115,23.334982,20.400004,90.98431800000003,20.400004
115_STEAM_3-2,1,22.492854,31.000000,31.418685,290.771858,0.000000,115,23.334982,22.492854,26.105967999999965,22.492854
115_STEAM_3-3,1,27.050616,0.000000,0.000000,286.214096,0.000000,115,23.334982,27.050616,-0.0,27.050616
116_STEAM_1-0,1,19.685475,62.000000,54.994510,0.000000,19.685475,116,23.334982,19.685475,226.269434,19.685475
116_STEAM_1-1,1,19.685475,31.000000,27.497255,0.000000,19.685475,116,23.334982,19.685475,113.134717,19.685475
116_STEAM_1-2,1,21.473910,31.000000,29.995395,0.000000,21.473910,116,23.334982,21.473910,57.693232,21.473910
116_STEAM_1-3,1,23.875403,31.000000,33.349871,0.000000,23.875403,116,23.334982,23.875403,-16.753050999999953,23.875403
118_CC_1-0,1,22.576974,170.000000,52.847314,0.000000,22.576974,118,23.334982,22.576974,128.86136000000005,22.576974
118_CC_1-1,1,22.576974,61.666667,19.170104,0.000000,22.576974,118,23.334982,22.576974,46.743826919336016,22.576974
118_CC_1-2,1,27.754751,0.000000,0.000000,0.000000,27.754751,118,23.334982,27.754751,-0.0,27.754751
118_CC_1-3,1,32.462174,0.000000,0.000000,0.000000,32.462174,118,23.334982,32.462174,-0.0,32.462174
123_STEAM_2-0,1,19.429682,62.000000,54.279912,887.782722,0.000000,123,23.334982,19.429682,242.12860000000003,19.429682
123_STEAM_2-1,1,19.429682,31.000000,27.139956,887.782722,0.000000,123,23.334982,19.429682,121.06430000000002,19.429682
123_STEAM_2-2,1,22.968501,31.000000,32.083084,884.243903,0.000000,123,23.334982,22.968501,11.360911000000009,22.968501
123_STEAM_2-3,1,33.035322,0.000000,0.000000,874.177083,0.000000,123,23.334982,33.035322,-0.0,33.035322
123_STEAM_3-0,1,19.983547,140.000000,126.061472,887.228857,0.000000,123,23.334982,19.983547,469.2008999999998,19.983547
123_STEAM_3-1,1,19.983547,70.000000,63.030736,887.228857,0.000000,123,23.334982,19.983547,234.6004499999999,19.983547
123_STEAM_3-2,1,21.647258,70.000000,68.278297,885.565147,0.000000,123,23.334982,21.647258,118.14067999999995,21.647258
123_STEAM_3-3,1,23.437807,70.000000,73.925925,883.774597,0.000000,123,23.334982,23.437807,-7.1977499999999495,23.437807
123_CT_1-0,1,26.265946,0.000000,0.000000,880.946459,0.000000,123,23.334982,26.265946,-0.0,26.265946
123_CT_1-1,1,26.265946,0.000000,0.000000,880.946459,0.000000,123,23.334982,26.265946,-0.0,26.265946
123_CT_1-2,1,29.803316,0.000000,0.000000,877.409089,0.000000,123,23.334982,29.803316,-0.0,29.803316
123_CT_1-3,1,31.089986,0.000000,0.000000,876.122419,0.000000,123,23.334982,31.089986,-0.0,31.089986
123_CT_4-0,1,26.265946,0.000000,0.000000,880.946459,0.000000,123,23.334982,26.265946,-0.0,26.265946
123_CT_4-1,1,26.265946,0.000000,0.000000,880.946459,0.000000,123,23.334982,26.265946,-0.0,26.265946
