Gen_Index,Capacity,Fuel_Cost,Pmin,start_cost,Can_Spin,Can_NonSpin,Min_Up,Min_Down,No_Load_Cost,Ramp_Rate,tonneCO2perMWh,CO2price,CO2dollarsperMWh,ZoneLabel,GencoIndex
101_CT_1,20,107.1369888,0,0,1,1,1,1,0,180,0.751293501,0,0,101,2
101_CT_2,20,107.1369888,0,0,1,1,1,1,0,180,0.751293501,0,0,101,2
101_STEAM_3,76,18.07250051,0,0,1,1,1,1,0,0,0.814329182,0,0,101,2
101_STEAM_4,76,18.07250051,0,0,1,1,1,1,0,0,0.814329182,0,0,101,2
102_CT_1,20,99.5819268,0,0,1,1,1,1,0,180,0.698313956,0,0,102,2
102_CT_2,20,99.5819268,0,0,1,1,1,1,0,180,0.698313956,0,0,102,2
102_STEAM_3,76,22.51610749,0,0,1,1,1,1,0,0,1.014553762,0,0,102,2
102_STEAM_4,76,22.51610749,0,0,1,1,1,1,0,0,1.014553762,0,0,102,2
107_CC_1,355,30.53022588,0,0,1,1,1,1,0,248.4,0.420376365,0,0,107,2
113_CT_1,55,30.30865434,0,0,1,1,1,1,0,222,0.417325505,0,0,113,2
113_CT_2,55,30.30865434,0,0,1,1,1,1,0,222,0.417325505,0,0,113,2
113_CT_3,55,30.30865434,0,0,1,1,1,1,0,222,0.417325505,0,0,113,2
113_CT_4,55,30.30865434,0,0,1,1,1,1,0,222,0.417325505,0,0,113,2
115_STEAM_1,12,133.6418022,0,0,1,1,1,1,0,0,0.995729694,0,0,115,2
115_STEAM_2,12,133.6418022,0,0,1,1,1,1,0,0,0.995729694,0,0,115,2
115_STEAM_3,155,27.05061604,0,0,1,1,1,1,0,0,1.218874279,0,0,115,2
116_STEAM_1,155,23.87540306,0,0,1,1,1,1,0,0,1.07580229,0,0,116,2
118_CC_1,355,32.46217422,0,0,1,1,1,1,0,248.4,0.446977721,0,0,118,2
123_STEAM_2,155,33.03532173,0,0,1,1,1,1,0,0,1.488539259,0,0,123,2
123_STEAM_3,350,23.43780713,0,0,1,1,1,1,0,0,1.056084646,0,0,123,2
