timepoint,zone,gross_load
1,301,45.765896854736845
1,302,41.10455550842105
1,303,76.27649475789474
1,304,31.358114511578943
1,305,30.086839598947368
1,306,57.63112937263158
1,307,52.96978802631578
1,308,72.46267001999999
1,309,74.1577032368421
1,310,82.63286932105264
1,311,0.0
1,312,0.0
1,313,112.29595061578947
1,314,82.2091110168421
1,315,134.33138243473684
1,316,42.375830421052626
1,317,0.0
1,318,141.11151530210526
1,319,76.70025306210525
1,320,54.24106293894736
1,321,0.0
1,322,0.0
1,323,0.0
1,324,0.0
1,325,0.0
2,301,44.09174311578947
2,302,39.60091742807017
2,303,73.48623852631579
2,304,30.21100917192982
2,305,28.986238529824558
2,306,55.52293577543859
2,307,51.03211008771929
2,308,69.81192659999999
2,309,71.444954122807
2,310,79.61009173684211
2,311,0.0
2,312,0.0
2,313,108.1880733859649
2,314,79.20183485614034
2,315,129.4174311824561
2,316,40.82568807017543
2,317,0.0
2,318,135.9495412736842
2,319,73.89449540701753
2,320,52.25688072982455
2,321,0.0
2,322,0.0
2,323,0.0
2,324,0.0
2,325,0.0
3,301,43.42549827789475
3,302,39.002530860701754
3,303,72.37583046315791
3,304,29.754508079298247
3,305,28.548244238245616
3,306,54.683960794385975
3,307,50.26099337719298
3,308,68.75703894
3,309,70.36539072807018
3,310,78.40714966842107
3,311,0.0
3,312,0.0
3,313,106.55330595964914
3,314,78.00506172140351
3,315,127.46187920456141
3,316,40.208794701754385
3,317,0.0
3,318,133.89528635684212
3,319,72.77791841017545
3,320,51.467257218245614
3,321,0.0
3,322,0.0
3,323,0.0
3,324,0.0
3,325,0.0
4,301,42.96425180210527
4,302,38.58826319263158
4,303,71.6070863368421
4,304,29.43846882736842
4,305,28.24501738842105
4,306,54.10313189894737
4,307,49.72714328947368
4,308,68.02673202
4,309,69.61800060526315
4,310,77.57434353157895
4,311,0.0
4,312,0.0
4,313,105.4215437736842
4,314,77.17652638526316
4,315,126.10803538210526
4,316,39.78171463157894
4,317,0.0
4,318,132.4731097231579
4,319,72.00490348315789
4,320,50.92059472842105
4,321,0.0
4,322,0.0
4,323,0.0
4,324,0.0
4,325,0.0
5,301,43.06675104
5,302,38.68032269333333
5,303,71.7779184
5,304,29.508699786666664
5,305,28.312401146666666
5,306,54.232205013333335
5,307,49.845776666666666
5,308,68.18902247999999
5,309,69.78408733333333
5,310,77.7594116
5,311,0.0
5,312,0.0
5,313,105.67304653333333
5,314,77.36064538666666
5,315,126.40888962666666
5,316,39.87662133333333
5,317,0.0
5,318,132.78914904
5,319,72.17668461333332
5,320,51.04207530666666
5,321,0.0
5,322,0.0
5,323,0.0
5,324,0.0
5,325,0.0
6,301,45.44131604210527
6,302,40.813033852631584
6,303,75.73552673684212
6,304,31.135716547368425
6,305,29.873457768421055
6,306,57.22239797894738
6,307,52.59411578947369
6,308,71.94875040000001
6,309,73.63176210526316
6,310,82.04682063157897
6,311,0.0
6,312,0.0
6,313,111.49952547368422
6,314,81.62606770526317
6,315,133.37867764210526
6,316,42.07529263157895
6,317,0.0
6,318,140.1107244631579
6,319,76.1562796631579
6,320,53.85637456842105
6,321,0.0
6,322,0.0
6,323,0.0
6,324,0.0
6,325,0.0
7,301,51.11293896
7,302,45.90699147333333
7,303,85.1882316
7,304,35.02182854666666
7,305,33.60202468666667
7,306,64.36444165333333
7,307,59.15849416666666
7,308,80.92882001999999
7,309,82.82189183333332
7,310,92.2872509
7,311,0.0
7,312,0.0
7,313,125.41600763333332
7,314,91.81398294666666
7,315,150.02594120666666
7,316,47.32679533333333
7,317,0.0
7,318,157.59822846
7,319,85.66149955333331
7,320,60.57829802666666
7,321,0.0
7,322,0.0
7,323,0.0
7,324,0.0
7,325,0.0
8,301,54.580828850526316
8,302,49.02167035649122
8,303,90.96804808421052
8,304,37.39797532350877
8,305,35.88184118877192
8,306,68.73141410807017
8,307,63.17225561403507
8,308,86.41964567999999
8,309,88.44115785964911
8,310,98.54871875789473
8,311,0.0
8,312,0.0
