True
\Users\llavin\Desktop\test78\test\01.01.2019\results_DA
    time  Storage_Index  discharge_offer  charge_offer
0      1  301_STORAGE_1              0.0           0.0
1      2  301_STORAGE_1              0.0           0.0
2      3  301_STORAGE_1              0.0           0.0
3      4  301_STORAGE_1              0.0           0.0
4      5  301_STORAGE_1              0.0           0.0
5      6  301_STORAGE_1              0.0           0.0
6      7  301_STORAGE_1              0.0           0.0
7      8  301_STORAGE_1              0.0           0.0
8      9  301_STORAGE_1              0.0           0.0
9     10  301_STORAGE_1              0.0           0.0
10    11  301_STORAGE_1              0.0           0.0
11    12  301_STORAGE_1              0.0           0.0
12    13  301_STORAGE_1              0.0           0.0
13    14  301_STORAGE_1              0.0           0.0
14    15  301_STORAGE_1              0.0           0.0
15    16  301_STORAGE_1              0.0           0.0
16    17  301_STORAGE_1              0.0           0.0
17    18  301_STORAGE_1              0.0           0.0
18    19  301_STORAGE_1              0.0           0.0
19    20  301_STORAGE_1              0.0           0.0
20    21  301_STORAGE_1              0.0           0.0
21    22  301_STORAGE_1              0.0           0.0
22    23  301_STORAGE_1              0.0           0.0
23    24  301_STORAGE_1              0.0           0.0
Empty DataFrame
Columns: []
Index: []
    time  Storage_Index  discharge_offer  charge_offer
0      1  301_STORAGE_1     0.000000e+00  0.000000e+00
1      2  301_STORAGE_1     0.000000e+00  0.000000e+00
2      3  301_STORAGE_1     0.000000e+00  0.000000e+00
3      4  301_STORAGE_1     0.000000e+00  0.000000e+00
4      5  301_STORAGE_1     0.000000e+00  0.000000e+00
5      6  301_STORAGE_1     0.000000e+00  0.000000e+00
6      7  301_STORAGE_1     0.000000e+00  0.000000e+00
7      8  301_STORAGE_1     0.000000e+00  0.000000e+00
8      9  301_STORAGE_1     0.000000e+00  0.000000e+00
9     10  301_STORAGE_1     0.000000e+00  0.000000e+00
10    11  301_STORAGE_1     0.000000e+00  0.000000e+00
11    12  301_STORAGE_1     0.000000e+00  0.000000e+00
12    13  301_STORAGE_1     0.000000e+00  0.000000e+00
13    14  301_STORAGE_1     0.000000e+00  0.000000e+00
14    15  301_STORAGE_1     0.000000e+00  0.000000e+00
15    16  301_STORAGE_1     0.000000e+00  0.000000e+00
16    17  301_STORAGE_1     0.000000e+00  0.000000e+00
17    18  301_STORAGE_1     0.000000e+00  0.000000e+00
18    19  301_STORAGE_1     0.000000e+00  0.000000e+00
19    20  301_STORAGE_1     0.000000e+00  0.000000e+00
20    21  301_STORAGE_1     0.000000e+00  0.000000e+00
21    22  301_STORAGE_1     0.000000e+00  0.000000e+00
22    23  301_STORAGE_1     0.000000e+00  0.000000e+00
23    24  301_STORAGE_1     0.000000e+00  0.000000e+00
0      1  313_STORAGE_1    -2.503303e+06 -2.503303e+06
1      2  313_STORAGE_1    -2.503303e+06 -2.503303e+06
2      3  313_STORAGE_1    -2.503303e+06 -2.503303e+06
3      4  313_STORAGE_1    -2.503303e+06 -2.503303e+06
4      5  313_STORAGE_1    -2.503303e+06 -2.503303e+06
5      6  313_STORAGE_1    -2.445818e+06 -2.445818e+06
6      7  313_STORAGE_1    -2.177978e+06 -2.177978e+06
7      8  313_STORAGE_1    -2.503303e+06 -2.503303e+06
8      9  313_STORAGE_1    -2.503303e+06 -2.503303e+06
9     10  313_STORAGE_1    -2.503303e+06 -2.503303e+06
10    11  313_STORAGE_1    -2.480449e+06 -2.480449e+06
11    12  313_STORAGE_1    -2.503303e+06 -2.503303e+06
12    13  313_STORAGE_1    -2.503303e+06 -2.503303e+06
13    14  313_STORAGE_1    -2.503303e+06 -2.503303e+06
14    15  313_STORAGE_1    -1.501303e+06 -1.501303e+06
15    16  313_STORAGE_1    -2.503303e+06 -2.503303e+06
16    17  313_STORAGE_1    -2.469485e+06 -2.469485e+06
17    18  313_STORAGE_1    -2.503303e+06 -2.503303e+06
18    19  313_STORAGE_1    -2.503303e+06 -2.503303e+06
19    20  313_STORAGE_1    -2.503303e+06 -2.503303e+06
20    21  313_STORAGE_1    -2.503303e+06 -2.503303e+06
21    22  313_STORAGE_1    -1.907437e+06 -1.907437e+06
22    23  313_STORAGE_1    -2.503303e+06 -2.503303e+06
23    24  313_STORAGE_1    -2.503303e+06 -2.503303e+06
Empty DataFrame
Columns: []
Index: []
