True
\Users\llavin\Desktop\test78\test\01.01.2019\results_DA
    time  Storage_Index  discharge_offer    charge_offer
0      1  301_STORAGE_1         0.000000 -1000000.000000
1      2  301_STORAGE_1      5000.000000 -1000000.000000
2      3  301_STORAGE_1         0.000000        0.000000
3      4  301_STORAGE_1         0.000000 -1000000.000000
4      5  301_STORAGE_1      5000.000000        0.000000
5      6  301_STORAGE_1         0.000000        0.000000
6      7  301_STORAGE_1        15.731579  -999984.268421
7      8  301_STORAGE_1      5000.000000        0.000000
8      9  301_STORAGE_1      5000.000000 -1000000.000000
9     10  301_STORAGE_1      5000.000000        0.000000
10    11  301_STORAGE_1      5000.000000 -1000000.000000
11    12  301_STORAGE_1      5000.000000 -1000000.000000
12    13  301_STORAGE_1         0.000000 -1000000.000000
13    14  301_STORAGE_1        15.731579  -999984.268421
14    15  301_STORAGE_1      5000.000000  -999977.267537
15    16  301_STORAGE_1        26.429209  -999973.570791
16    17  301_STORAGE_1        26.845141  -999973.154859
17    18  301_STORAGE_1        26.755735  -999973.244265
18    19  301_STORAGE_1        26.429209  -999973.570791
19    20  301_STORAGE_1      5000.000000  -999973.570791
20    21  301_STORAGE_1      5000.000000  -999973.802871
21    22  301_STORAGE_1        22.732463  -999977.267537
22    23  301_STORAGE_1        21.116646  -999978.883354
23    24  301_STORAGE_1        22.732463  -999977.267537
Empty DataFrame
Columns: []
Index: []
    time  Storage_Index  discharge_offer    charge_offer
0      1  301_STORAGE_1         0.000000 -1000000.000000
1      2  301_STORAGE_1      5000.000000 -1000000.000000
2      3  301_STORAGE_1         0.000000        0.000000
3      4  301_STORAGE_1         0.000000 -1000000.000000
4      5  301_STORAGE_1      5000.000000        0.000000
5      6  301_STORAGE_1         0.000000        0.000000
6      7  301_STORAGE_1        15.731579  -999984.268421
7      8  301_STORAGE_1      5000.000000        0.000000
8      9  301_STORAGE_1      5000.000000 -1000000.000000
9     10  301_STORAGE_1      5000.000000        0.000000
10    11  301_STORAGE_1      5000.000000 -1000000.000000
11    12  301_STORAGE_1      5000.000000 -1000000.000000
12    13  301_STORAGE_1         0.000000 -1000000.000000
13    14  301_STORAGE_1        15.731579  -999984.268421
14    15  301_STORAGE_1      5000.000000  -999977.267537
15    16  301_STORAGE_1        26.429209  -999973.570791
16    17  301_STORAGE_1        26.845141  -999973.154859
17    18  301_STORAGE_1        26.755735  -999973.244265
18    19  301_STORAGE_1        26.429209  -999973.570791
19    20  301_STORAGE_1      5000.000000  -999973.570791
20    21  301_STORAGE_1      5000.000000  -999973.802871
21    22  301_STORAGE_1        22.732463  -999977.267537
22    23  301_STORAGE_1        21.116646  -999978.883354
23    24  301_STORAGE_1        22.732463  -999977.267537
0      1  313_STORAGE_1         0.000000        0.000000
1      2  313_STORAGE_1         0.000000 -1000000.000000
2      3  313_STORAGE_1         0.000000 -1000000.000000
3      4  313_STORAGE_1         0.000000 -1000000.000000
4      5  313_STORAGE_1         0.000000 -1000000.000000
5      6  313_STORAGE_1         0.000000 -1000000.000000
6      7  313_STORAGE_1        15.731579  -999984.268421
7      8  313_STORAGE_1      5000.000000 -1000000.000000
8      9  313_STORAGE_1         0.000000        0.000000
9     10  313_STORAGE_1      5000.000000        0.000000
10    11  313_STORAGE_1         0.000000        0.000000
11    12  313_STORAGE_1      5000.000000 -1000000.000000
12    13  313_STORAGE_1      5000.000000 -1000000.000000
13    14  313_STORAGE_1      5000.000000  -999984.268421
14    15  313_STORAGE_1      5000.000000  -999977.267537
15    16  313_STORAGE_1        26.429209  -999973.570791
16    17  313_STORAGE_1        26.845141  -999973.154859
17    18  313_STORAGE_1        26.755735  -999973.244265
18    19  313_STORAGE_1        26.429209  -999973.570791
19    20  313_STORAGE_1      5000.000000  -999973.570791
20    21  313_STORAGE_1      5000.000000  -999974.035489
21    22  313_STORAGE_1        22.732463  -999977.267537
22    23  313_STORAGE_1        21.116646  -999978.883354
23    24  313_STORAGE_1        22.732463  -999977.267537
Empty DataFrame
Columns: []
Index: []
