timepoint,Gen_Index,available,Capacity,Fuel_Cost
1,301_CT_1,1,20.0,105.36724140000001
1,301_CT_2,1,20.0,105.36724140000001
1,301_CT_3,1,55.0,43.74288666
1,301_CT_4,1,55.0,43.74288666
1,302_CT_1,1,20.0,105.36724140000001
1,302_CT_2,1,20.0,105.36724140000001
1,302_CT_3,1,55.0,38.63507958
1,302_CT_4,1,55.0,38.63507958
1,307_CT_1,1,55.0,35.47476972
1,307_CT_2,1,55.0,35.47476972
1,313_CC_1,1,355.0,33.75273126
1,315_STEAM_1,1,12.0,124.0996554
1,315_STEAM_2,1,12.0,124.0996554
1,315_STEAM_3,1,12.0,124.0996554
1,315_STEAM_4,1,12.0,124.0996554
1,315_STEAM_5,1,12.0,124.0996554
1,315_CT_6,1,55.0,31.8557679
1,315_CT_7,1,55.0,31.8557679
1,315_CT_8,1,55.0,31.8557679
1,316_STEAM_1,1,155.0,27.274698980000004
1,318_CC_1,1,355.0,31.52924142
1,321_CC_1,1,355.0,33.94709226
1,322_CT_5,1,55.0,27.89469072
1,322_CT_6,1,55.0,27.89469072
1,323_CC_1,1,355.0,31.727489639999995
1,323_CC_2,1,355.0,31.727489639999995
1,322_HYDRO_1,1,26.816666666666666,0.0
1,322_HYDRO_2,1,26.816666666666666,0.0
1,322_HYDRO_3,1,26.816666666666666,0.0
1,322_HYDRO_4,1,26.816666666666666,0.0
1,320_PV_1,1,33.666666666666664,0.0
1,314_PV_1,1,26.29166666666667,0.0
1,314_PV_2,1,34.30833333333333,0.0
1,313_PV_1,1,48.041666666666664,0.0
1,314_PV_3,1,48.150000000000006,0.0
1,314_PV_4,1,30.066666666666666,0.0
1,313_PV_2,1,56.39166666666667,0.0
1,310_PV_1,1,27.883333333333336,0.0
1,324_PV_1,1,32.44166666666667,0.0
1,312_PV_1,1,59.96666666666667,0.0
1,310_PV_2,1,29.64166666666667,0.0
1,324_PV_2,1,28.908333333333335,0.0
1,324_PV_3,1,20.891666666666666,0.0
1,319_PV_1,1,73.89166666666668,0.0
1,308_RTPV_1,1,51.625,0.0
1,313_RTPV_1,1,59.474999999999994,0.0
1,313_RTPV_2,1,23.366666666666664,0.0
1,313_RTPV_3,1,29.15833333333333,0.0
1,313_RTPV_4,1,31.575,0.0
1,313_RTPV_5,1,32.5,0.0
1,313_RTPV_6,1,27.74166666666667,0.0
1,313_RTPV_7,1,29.558333333333334,0.0
1,313_RTPV_8,1,20.250000000000004,0.0
1,313_RTPV_9,1,29.683333333333334,0.0
1,313_RTPV_10,1,27.349999999999998,0.0
1,313_RTPV_11,1,19.733333333333334,0.0
1,313_RTPV_12,1,12.041666666666666,0.0
1,320_RTPV_1,1,13.391666666666671,0.0
1,320_RTPV_2,1,10.916666666666666,0.0
1,320_RTPV_3,1,13.875,0.0
1,313_RTPV_13,1,11.641666666666666,0.0
1,320_RTPV_4,1,10.741666666666667,0.0
1,320_RTPV_5,1,12.200000000000001,0.0
1,320_RTPV_6,1,4.483333333333333,0.0
1,309_WIND_1,1,144.89166666666668,0.0
1,317_WIND_1,1,739.775,0.0
1,303_WIND_1,1,821.2249999999999,0.0
2,301_CT_1,1,20.0,105.36724140000001
2,301_CT_2,1,20.0,105.36724140000001
2,301_CT_3,1,55.0,43.74288666
2,301_CT_4,1,55.0,43.74288666
2,302_CT_1,1,20.0,105.36724140000001
2,302_CT_2,1,20.0,105.36724140000001
2,302_CT_3,1,55.0,38.63507958
2,302_CT_4,1,55.0,38.63507958
2,307_CT_1,1,55.0,35.47476972
2,307_CT_2,1,55.0,35.47476972
2,313_CC_1,1,355.0,33.75273126
2,315_STEAM_1,1,12.0,124.0996554
2,315_STEAM_2,1,12.0,124.0996554
2,315_STEAM_3,1,12.0,124.0996554
2,315_STEAM_4,1,12.0,124.0996554
2,315_STEAM_5,1,12.0,124.0996554
2,315_CT_6,1,55.0,31.8557679
2,315_CT_7,1,55.0,31.8557679
2,315_CT_8,1,55.0,31.8557679
2,316_STEAM_1,1,155.0,27.274698980000004
2,318_CC_1,1,355.0,31.52924142
2,321_CC_1,1,355.0,33.94709226
2,322_CT_5,1,55.0,27.89469072
2,322_CT_6,1,55.0,27.89469072
2,323_CC_1,1,355.0,31.727489639999995
2,323_CC_2,1,355.0,31.727489639999995
2,322_HYDRO_1,1,28.570833333333336,0.0
2,322_HYDRO_2,1,28.570833333333336,0.0
2,322_HYDRO_3,1,28.570833333333336,0.0
2,322_HYDRO_4,1,28.570833333333336,0.0
2,320_PV_1,1,15.475000000000001,0.0
2,314_PV_1,1,21.383333333333336,0.0
2,314_PV_2,1,23.291666666666668,0.0
2,313_PV_1,1,26.066666666666666,0.0
2,314_PV_3,1,33.550000000000004,0.0
2,314_PV_4,1,31.200000000000003,0.0
2,313_PV_2,1,27.8,0.0
2,310_PV_1,1,18.725,0.0
2,324_PV_1,1,22.99166666666667,0.0
2,312_PV_1,1,31.816666666666666,0.0
2,310_PV_2,1,22.51666666666667,0.0
2,324_PV_2,1,19.083333333333332,0.0
2,324_PV_3,1,25.29166666666666,0.0
2,319_PV_1,1,26.7,0.0
2,308_RTPV_1,1,29.633333333333336,0.0
2,313_RTPV_1,1,31.066666666666666,0.0
2,313_RTPV_2,1,20.875,0.0
2,313_RTPV_3,1,19.55833333333333,0.0
2,313_RTPV_4,1,18.41666666666666,0.0
2,313_RTPV_5,1,18.875000000000004,0.0
2,313_RTPV_6,1,16.908333333333335,0.0
2,313_RTPV_7,1,12.216666666666667,0.0
2,313_RTPV_8,1,15.325000000000003,0.0
2,313_RTPV_9,1,18.066666666666666,0.0
2,313_RTPV_10,1,18.791666666666664,0.0
2,313_RTPV_11,1,15.641666666666666,0.0
2,313_RTPV_12,1,8.233333333333333,0.0
2,320_RTPV_1,1,7.483333333333333,0.0
2,320_RTPV_2,1,6.766666666666667,0.0
2,320_RTPV_3,1,7.083333333333333,0.0
2,313_RTPV_13,1,8.366666666666665,0.0
2,320_RTPV_4,1,6.949999999999999,0.0
2,320_RTPV_5,1,7.649999999999998,0.0
2,320_RTPV_6,1,2.9583333333333335,0.0
2,309_WIND_1,1,144.50833333333333,0.0
2,317_WIND_1,1,764.6083333333335,0.0
2,303_WIND_1,1,789.7333333333332,0.0
3,301_CT_1,1,20.0,105.36724140000001
3,301_CT_2,1,20.0,105.36724140000001
3,301_CT_3,1,55.0,43.74288666
3,301_CT_4,1,55.0,43.74288666
3,302_CT_1,1,20.0,105.36724140000001
3,302_CT_2,1,20.0,105.36724140000001
3,302_CT_3,1,55.0,38.63507958
3,302_CT_4,1,55.0,38.63507958
3,307_CT_1,1,55.0,35.47476972
3,307_CT_2,1,55.0,35.47476972
3,313_CC_1,1,355.0,33.75273126
3,315_STEAM_1,1,12.0,124.0996554
3,315_STEAM_2,1,12.0,124.0996554
3,315_STEAM_3,1,12.0,124.0996554
3,315_STEAM_4,1,12.0,124.0996554
3,315_STEAM_5,1,12.0,124.0996554
3,315_CT_6,1,55.0,31.8557679
3,315_CT_7,1,55.0,31.8557679
3,315_CT_8,1,55.0,31.8557679
3,316_STEAM_1,1,155.0,27.274698980000004
3,318_CC_1,1,355.0,31.52924142
3,321_CC_1,1,355.0,33.94709226
